City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2,UPX.Per.UP2
Kansas City,Owned,FALSE,OAK PARK SOUTHEAST,49,"[{""name"":""Kansas City"",""yield_boost"":1.25}]",3943 COLLEGE AVE,4998,25000,i5aik4ltprzh,alchemy,2022-05-14T06:22:57.000Z,,,,,60.46,75.57,80342767996796,,,
Bakersfield,Owned,FALSE,MADISON GROVE,109,"[{""name"":""Bakersfielder"",""yield_boost"":1.2}]",10043 SENECA FALLS AVE,5014,5014,i5aik4ltprzh,alchemy,2021-05-22T06:20:31.500Z,,,,,60.65,72.78,78077323123317,,,
Chicago,Owned,FALSE,BRIGHTON PARK,38,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",4501 S TROY ST,5016,5016,i5aik4ltprzh,alchemy,2021-06-12T21:17:47.000Z,,,,,60.67,77.66,82059899369173,,,
Chicago,Owned,FALSE,BRIGHTON PARK,38,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",4503 S TROY ST,5016,5016,i5aik4ltprzh,alchemy,2021-06-12T21:18:00.500Z,,,,,60.67,77.66,82059849037525,,,
Chicago,Owned,FALSE,GARFIELD PARK,37,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",2848 W VAN BUREN ST,5032,5032,i5aik4ltprzh,alchemy,2021-07-09T20:32:24.000Z,,,,,60.87,77.91,82100013690192,,,
Cleveland,Owned,FALSE,CENTRAL,58,"[{""name"":""Clevelander"",""yield_boost"":1.25}]",2373 E 63 ST,5046,5046,i5aik4ltprzh,alchemy,2021-07-08T17:01:42.000Z,,,,,61.04,76.3,81862146505407,,,
Bakersfield,Owned,FALSE,MADISON GROVE,110,"[{""name"":""Bakersfielder"",""yield_boost"":1.2}]",6408 CANYON FALLS LN,5060,5060,i5aik4ltprzh,alchemy,2021-05-22T06:38:39.000Z,,,,,61.21,73.45,78079705487836,,,
Bakersfield,Owned,FALSE,OLIVE DRIVE AREA,116,"[{""name"":""Bakersfielder"",""yield_boost"":1.2}]",9524 BIRCH CREEK CT,5104,5104,i5aik4ltprzh,alchemy,2021-05-22T06:13:04.500Z,,,,,61.74,74.09,78081047665451,,,
Bakersfield,Owned,FALSE,OLIVE DRIVE AREA,116,"[{""name"":""Bakersfielder"",""yield_boost"":1.2}]",9518 OAK HILLS AVE,5104,5104,i5aik4ltprzh,alchemy,2021-05-22T06:14:39.500Z,,,,,61.74,74.09,78081584536354,,,
Oakland,Owned,FALSE,CLEVELAND HEIGHTS,64,"[{""name"":""The East Bay"",""yield_boost"":1.25}]",340 HADDON RD,5120,5120,i5aik4ltprzh,alchemy,2021-04-30T16:09:28.500Z,,,,,61.93,77.41,79563666872704,,,
Fresno,Owned,FALSE,FIG GARDEN,366,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",4352 N FRUIT AVE,5124,5124,i5aik4ltprzh,alchemy,2020-10-26T11:03:21.000Z,,,,,61.98,74.38,78937658706777,,,
